Id;Asignatura;Grupo;Semestre;Horario;Escuela;Ciudad;Horas;Ingles;Area
ED;Estructuras de datos;PAS-I;1;V 16:00-17:00;EII Oviedo;Oviedo;10.5;SI;CCIA/LSI
ED;Estructuras de datos;PLI-03;1;L 18:00-20:00;EII Oviedo;Oviedo;45;SI;CCIA/LSI
ED;Estructuras de datos;PLI-04;1;X 18:00-20:00;EII Oviedo;Oviedo;45;SI;CCIA/LSI
FI;Fundamentos de Informatica;PLI-01;1;J 09:00-11:00;EII Oviedo;Oviedo;45;SI;CCIA/LSI
FI;Fundamentos de Informatica;PLI-04;1;X 09:00-11:00;EII Oviedo;Oviedo;45;SI;CCIA/LSI
SICS;Sistemas Informaticos en Ciencias de la Salud;PL-02;1;MJ 12:00-15:00;Medicina y CS;Oviedo;30;NO;CCIA/LSI
SI;Sistemas de Informacion;PL-02;2;X 13:00-15:00;EPI Gijon;Gijon;20;NO;CCIA/LSI
ED;Estructuras de datos;PL-08;1;L 18:00-20:00;EII Oviedo;Oviedo;30;NO;CCIA/LSI
ED;Estructuras de datos;PLI-01;1;M 18:00-20:00;EII Oviedo;Oviedo;45;SI;CCIA/LSI
FI;Fundamentos de Informatica;PL-03;1;J 11:00-13:00;EPI Gijon;Gijon;16;NO;CCIA/LSI
FI;Fundamentos de Informatica;PL-26;1;V 16:00-18:00;EPI Gijon;Gijon;15;NO;CCIA/LSI
BD;Bases de Datos;PLI-03;2;L 18:00-20:00;EII Oviedo;Oviedo;45;SI;CCIA/LSI
BD;Bases de Datos;PLI-01;2;J 18:00-20:00;EII Oviedo;Oviedo;45;SI;CCIA/LSI
SWV;Software de Entretenimiento y Videojuegos;PL-04;1;M 15:30-18:00;EII Oviedo;Oviedo;37;NO;CCIA/LSI
FI;Fundamentos de Informatica;PL-03;1;V 18:00-20:00;EPI Gijon;Gijon;30;NO;CCIA/LSI
RI;Repositorios de Informacion;PL-02;1;J 11:00-13:00;EII Oviedo;Oviedo;8;NO;CCIA/LSI
RI;Repositorios de Informacion;PL-09;1;J 09:00-11:00;EII Oviedo;Oviedo;7;NO;CCIA/LSI
RI;Repositorios de Informacion;CEX-02;1;L 11:00-13:00;EII Oviedo;Oviedo;2;NO;CCIA/LSI
RI;Repositorios de Informacion;PL-04;1;L 11:00-13:00;EII Oviedo;Oviedo;9;NO;CCIA/LSI
RI;Repositorios de Informacion;CEX-01;1;L 09:00-11:00;EII Oviedo;Oviedo;2;NO;CCIA/LSI
RI;Repositorios de Informacion;PL-03;1;L 09:00-11:00;EII Oviedo;Oviedo;8;NO;CCIA/LSI
RI;Repositorios de Informacion;PL-06;1;M 11:00-13:00;EII Oviedo;Oviedo;9;NO;CCIA/LSI
RI;Repositorios de Informacion;PL-05;1;M 09:00-11:00;EII Oviedo;Oviedo;9;NO;CCIA/LSI
RI;Repositorios de Informacion;PAS-02;1;V 10:00-11:00;EII Oviedo;Oviedo;1;NO;CCIA/LSI
RI;Repositorios de Informacion;PAS-03;1;V 11:00-12:00;EII Oviedo;Oviedo;1;NO;CCIA/LSI
RI;Repositorios de Informacion;PL-01;1;V 12:00-14:00;EII Oviedo;Oviedo;8;NO;CCIA/LSI
RI;Repositorios de Informacion;PAS-01;1;V 09:00-10:00;EII Oviedo;Oviedo;1;NO;CCIA/LSI
